timestamp,GLOBAL_POSITION_INT.time_boot_ms,GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon,GLOBAL_POSITION_INT.alt,GLOBAL_POSITION_INT.relative_alt,GLOBAL_POSITION_INT.vx,GLOBAL_POSITION_INT.vy,GLOBAL_POSITION_INT.vz,GLOBAL_POSITION_INT.hdg
1437196014.70725584,192037,-352080764,1490435023,1290,1290,-9,-12,1,31672
1437196014.93841982,192238,-352080763,1490435022,1310,1310,-9,-12,2,31669
1437196015.29853201,192640,-352080759,1490435018,1310,1310,-9,-12,2,31669
1437196015.55185199,193042,-352080767,1490435018,1290,1290,-9,-12,1,31669
1437196015.96579194,193223,-352080750,1490435012,1290,1290,-10,-12,1,31668
1437196016.38005185,193624,-352080748,1490435010,1290,1290,-10,-12,1,31667
1437196016.63214803,193826,-352080746,1490435012,1290,1290,-9,-12,2,31667
1437196017.01627994,194228,-352080745,1490435017,1280,1280,-10,-12,1,31666
1437196017.36841989,194630,-352080732,1490435017,1290,1290,-10,-12,1,31667
1437196017.62861991,194831,-352080728,1490435018,1290,1290,-10,-12,1,31668
1437196017.98362398,195233,-352080742,1490435010,1270,1270,-10,-12,1,31668
1437196018.39679599,195434,-352080750,1490435005,1260,1260,-9,-11,0,31667
1437196018.63298798,195836,-352080748,1490435005,1240,1240,-9,-11,0,31667
1437196018.87700391,196238,-352080743,1490434997,1240,1240,-8,-11,0,31667
1437196019.18213582,196439,-352080748,1490434989,1240,1240,-8,-11,0,31666
1437196019.46035194,196840,-352080749,1490434980,1240,1240,-8,-10,0,31667
1437196019.78539205,197021,-352080756,1490434978,1240,1240,-8,-10,0,31666
1437196020.05251598,197423,-352080759,1490434976,1240,1240,-8,-10,0,31667
1437196020.32676005,197824,-352080775,1490434971,1250,1250,-8,-10,0,31665
1437196020.72585988,198025,-352080779,1490434964,1250,1250,-9,-10,0,31664
1437196021.08694386,198448,-352080777,1490434961,1260,1260,-8,-9,0,31662
1437196021.36209202,198829,-352080772,1490434962,1250,1250,-8,-9,0,31663
1437196021.76240802,199030,-352080755,1490434964,1260,1260,-8,-9,0,31663
1437196022.18747997,199432,-352080744,1490434960,1250,1250,-8,-9,0,31662
1437196022.53864002,199633,-352080731,1490434957,1250,1250,-8,-10,0,31660
1437196022.77573586,200035,-352080710,1490434955,1240,1240,-8,-10,0,31661
1437196023.01870394,200437,-352080682,1490434957,1220,1220,-8,-10,0,31659
1437196023.42279196,200639,-352080665,1490434954,1230,1230,-8,-10,0,31658
1437196023.83012390,201040,-352080660,1490434953,1250,1250,-8,-11,0,31657
1437196024.24457192,201241,-352080671,1490434956,1250,1250,-8,-11,0,31658
1437196024.50431991,201643,-352080658,1490434960,1260,1260,-8,-11,0,31658
1437196024.84053588,202026,-352080659,1490434950,1260,1260,-8,-10,0,31659
1437196025.08655190,202227,-352080655,1490434949,1260,1260,-8,-10,1,31657
1437196025.42879987,202628,-352080652,1490434954,1260,1260,-8,-10,1,31656
1437196025.66888404,202829,-352080652,1490434958,1270,1270,-8,-11,1,31655
1437196025.91369605,203230,-352080653,1490434959,1270,1270,-7,-10,1,31656
1437196026.32311988,203632,-352080655,1490434961,1260,1260,-7,-10,1,31655
1437196026.67446399,203833,-352080664,1490434960,1280,1280,-6,-11,1,31650
1437196026.98539186,204235,-352080666,1490434950,1280,1280,-6,-11,1,31647
1437196027.34658384,204436,-352080664,1490434946,1290,1290,-6,-11,2,31647
1437196027.76037598,204838,-352080665,1490434943,1310,1310,-6,-11,2,31645
1437196028.01877189,205240,-352080666,1490434945,1300,1300,-5,-11,1,31643
1437196028.38789582,205421,-352080662,1490434945,1320,1320,-5,-11,2,31643
1437196028.74208403,205823,-352080656,1490434945,1330,1330,-5,-12,2,31641
1437196029.05321598,206224,-352080645,1490434942,1350,1350,-5,-11,2,31640
1437196029.62651205,206625,-352080646,1490434940,1360,1360,-5,-11,2,31641
1437196030.03969598,206827,-352080668,1490434937,1380,1380,-5,-11,3,31638
1437196030.45579982,207229,-352080679,1490434936,1380,1380,-5,-11,2,31636
1437196030.81512785,207631,-352080670,1490434934,1390,1390,-5,-11,2,31636
1437196031.05409193,208033,-352080669,1490434934,1400,1400,-5,-11,1,31634
1437196031.38930798,208434,-352080675,1490434935,1410,1410,-5,-11,2,31631
1437196031.63521194,208837,-352080697,1490434937,1410,1410,-5,-11,2,31630
1437196031.88439202,209239,-352080693,1490434932,1430,1430,-5,-11,2,31627
1437196032.12451982,209640,-352080691,1490434924,1440,1440,-5,-10,2,31625
1437196032.52159190,210022,-352080674,1490434920,1440,1440,-6,-10,0,31626
1437196032.94973183,210445,-352080684,1490434922,1440,1440,-6,-9,0,31626
1437196033.36297202,210828,-352080695,1490434919,1440,1440,-6,-9,0,31629
1437196033.80765986,211230,-352080707,1490434914,1410,1410,-6,-9,0,31628
1437196034.38044405,211632,-352080703,1490434904,1410,1410,-6,-9,0,31626
1437196034.80038404,212033,-352080713,1490434888,1410,1410,-6,-8,0,31625
